,name,year,max_wind,name_year,hurricane_id,date,time,status,latitude,longitude,air_pressure,latitude_decimal,longitude_decimal
22,Alice,1973,80,Alice_1973,198,19730701,1800,TD,26.0N,67.8W,1006,26.0,-67.13
18,Alfa,1973,40,Alfa_1973,199,19730730,1200,SD,32.6N,74.1W,1013,32.1,-74.02
136,Brenda,1973,80,Brenda_1973,200,19730818,600,TD,20.5N,83.7W,-999,20.08,-83.12
187,Christine,1973,60,Christine_1973,201,19730825,1200,TD,11.0N,14.0W,-999,11.0,-14.0
251,Delia,1973,60,Delia_1973,202,19730901,1800,TD,20.5N,86.5W,1008,20.08,-86.08
324,Ellen,1973,100,Ellen_1973,203,19730914,1200,TD,10.5N,22.4W,-999,10.08,-22.07
408,Fran,1973,70,Fran_1973,204,19731008,1800,SD,30.0N,65.8W,1008,30.0,-65.13
456,Gilda,1973,60,Gilda_1973,205,19731016,600,TD,16.3N,82.0W,1008,16.05,-82.0
32,Alma,1974,55,Alma_1974,206,19740812,1200,TD,10.5N,43.0W,1010,10.08,-43.0
90,Becky,1974,100,Becky_1974,207,19740826,1200,TD,27.0N,69.0W,-999,27.0,-69.0
149,Carmen,1974,130,Carmen_1974,208,19740829,600,TD,16.8N,55.8W,1011,16.13,-55.13
268,Dolly,1974,45,Dolly_1974,209,19740902,1800,TD,27.2N,67.9W,-999,27.03,-67.15
314,Elaine,1974,60,Elaine_1974,210,19740904,1800,TD,14.7N,50.5W,-999,14.12,-50.08
379,Fifi,1974,95,Fifi_1974,211,19740914,1200,TD,15.3N,65.0W,-999,15.05,-65.0
453,Gertrude,1974,65,Gertrude_1974,212,19740927,1200,TD,10.7N,45.1W,-999,10.12,-45.02
36,Amy,1975,60,Amy_1975,213,19750627,0,TD,27.5N,79.0W,1013,27.08,-79.0
121,Blanche,1975,75,Blanche_1975,214,19750724,0,TD,26.0N,68.4W,1014,26.0,-68.07
153,Caroline,1975,100,Caroline_1975,215,19750824,1200,TD,22.4N,69.8W,1011,22.07,-69.13
282,Doris,1975,95,Doris_1975,216,19750828,1200,SS,33.3N,46.3W,1005,33.05,-46.05
325,Eloise,1975,110,Eloise_1975,217,19750913,600,TD,17.5N,54.1W,-999,17.08,-54.02
368,Faye,1975,90,Faye_1975,218,19750918,600,TD,17.5N,33.5W,-999,17.08,-33.08
463,Gladys,1975,120,Gladys_1975,219,19750922,1800,TD,10.3N,34.8W,1012,10.05,-34.13
489,Hallie,1975,45,Hallie_1975,220,19751024,1800,SD,29.1N,79.3W,1006,29.02,-79.05
54,Anna,1976,45,Anna_1976,221,19760728,1800,SD,28.0N,52.3W,1015,28.0,-52.05
91,Belle,1976,105,Belle_1976,222,19760806,600,TD,26.0N,72.8W,1012,26.0,-72.13
286,Dottie,1976,45,Dottie_1976,223,19760818,0,TD,26.0N,84.0W,1010,26.0,-84.0
145,Candice,1976,80,Candice_1976,224,19760818,1200,TD,31.7N,68.2W,1007,31.12,-68.03
333,Emmy,1976,90,Emmy_1976,225,19760820,1200,TD,14.0N,48.0W,1012,14.0,-48.0
415,Frances,1976,100,Frances_1976,226,19760827,1200,TD,12.5N,37.5W,1009,12.08,-37.08
464,Gloria,1976,90,Gloria_1976,227,19760926,1200,TD,23.0N,58.0W,1009,23.0,-58.0
