,hurricane_id,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year
213,214,19750724,Blanche,0,TD,26.0N,68.4W,20,1014,26.0,-68.07,1975
214,215,19750824,Caroline,1200,TD,22.4N,69.8W,25,1011,22.07,-69.13,1975
215,216,19750828,Doris,1200,SS,33.3N,46.3W,35,1005,33.05,-46.05,1975
216,217,19750913,Eloise,600,TD,17.5N,54.1W,25,-999,17.08,-54.02,1975
217,218,19750918,Faye,600,TD,17.5N,33.5W,25,-999,17.08,-33.08,1975
218,219,19750922,Gladys,1800,TD,10.3N,34.8W,25,1012,10.05,-34.13,1975
219,220,19751024,Hallie,1800,SD,29.1N,79.3W,30,1006,29.02,-79.05,1975
220,221,19760728,Anna,1800,SD,28.0N,52.3W,20,1015,28.0,-52.05,1976
221,222,19760806,Belle,600,TD,26.0N,72.8W,25,1012,26.0,-72.13,1976
222,223,19760818,Dottie,0,TD,26.0N,84.0W,20,1010,26.0,-84.0,1976
223,224,19760818,Candice,1200,TD,31.7N,68.2W,30,1007,31.12,-68.03,1976
224,225,19760820,Emmy,1200,TD,14.0N,48.0W,20,1012,14.0,-48.0,1976
225,226,19760827,Frances,1200,TD,12.5N,37.5W,25,1009,12.08,-37.08,1976
226,227,19760926,Gloria,1200,TD,23.0N,58.0W,20,1009,23.0,-58.0,1976
227,228,19761022,Holly,1800,TD,19.1N,55.8W,25,1006,19.02,-55.13,1976
228,229,19770829,Anita,1200,TD,26.9N,88.4W,20,1012,26.15,-88.07,1977
229,230,19770903,Babe,600,SD,26.8N,86.3W,25,1007,26.13,-86.05,1977
230,231,19770905,Clara,1200,TD,32.8N,80.0W,20,1015,32.13,-80.0,1977
231,232,19770926,Dorothy,1800,TD,28.5N,71.5W,20,1010,28.08,-71.08,1977
232,233,19771013,Evelyn,1800,TD,26.9N,62.9W,30,1010,26.15,-62.15,1977
233,234,19771016,Frieda,1800,TD,17.3N,83.2W,25,1011,17.05,-83.03,1977
234,235,19780730,Amelia,1800,TD,25.7N,97.0W,30,1006,25.12,-97.0,1978
235,236,19780805,Bess,1200,TD,25.3N,90.4W,20,1012,25.05,-90.07,1978
236,237,19780807,Cora,1200,TD,13.0N,35.0W,25,1010,13.0,-35.0,1978
237,238,19780826,Debra,1200,TD,23.4N,88.4W,25,1010,23.07,-88.07,1978
238,239,19780830,Ella,0,TD,26.2N,59.7W,20,1012,26.03,-59.12,1978
239,240,19780904,Flossie,0,TD,12.0N,39.0W,25,1006,12.0,-39.0,1978
240,241,19780912,Hope,0,SD,29.8N,80.0W,25,1012,29.13,-80.0,1978
241,242,19780913,Greta,1800,TD,11.0N,62.5W,25,-999,11.0,-62.08,1978
242,243,19781002,Irma,1200,SD,31.7N,31.5W,30,1010,31.12,-31.08,1978
243,244,19781007,Juliet,1800,TD,18.0N,55.6W,25,1011,18.0,-55.1,1978
244,245,19781028,Kendra,1800,TD,23.5N,72.7W,30,1008,23.08,-72.12,1978
245,246,19790619,Ana,1200,TD,10.0N,45.0W,25,1011,10.0,-45.0,1979
246,247,19790709,Bob,1200,TD,22.0N,96.0W,20,1012,22.0,-96.0,1979
247,248,19790715,Claudette,1200,TD,12.5N,46.3W,20,1014,12.08,-46.05,1979
248,249,19790825,David,1200,TD,11.7N,36.1W,25,1008,11.12,-36.02,1979
249,250,19790829,Frederic,600,TD,11.0N,25.5W,25,1009,11.0,-25.08,1979
250,251,19790830,Elena,0,TD,25.5N,89.1W,25,1008,25.08,-89.02,1979
251,252,19790904,Gloria,1200,TD,15.5N,21.0W,25,1005,15.08,-21.0,1979
252,253,19790915,Henri,0,TD,20.3N,86.8W,25,1003,20.05,-86.13,1979
253,254,19800731,Allen,1200,DB,11.0N,30.0W,25,-999,11.0,-30.0,1980
254,255,19800814,Bonnie,0,TD,12.7N,35.5W,25,1010,12.12,-35.08,1980
255,256,19800820,Charley,1200,SD,36.0N,73.0W,25,1010,36.0,-73.0,1980
256,257,19800901,Georges,0,TD,15.6N,38.0W,30,1010,15.1,-38.0,1980
257,258,19800904,Earl,1200,TD,17.7N,24.0W,25,1008,17.12,-24.0,1980
258,259,19800904,Danielle,1800,TD,28.3N,90.6W,25,1010,28.05,-90.1,1980
259,260,19800906,Frances,0,TD,12.5N,19.0W,25,1010,12.08,-19.0,1980
260,261,19800920,Hermine,1200,TD,14.6N,77.2W,25,1008,14.1,-77.03,1980
261,262,19801001,Ivan,0,EX,33.6N,20.0W,25,1010,33.1,-20.0,1980
262,263,19801107,Jeanne,1800,DB,13.6N,82.6W,20,1008,13.1,-82.1,1980
263,264,19801125,Karl,0,SS,36.0N,46.0W,50,988,36.0,-46.0,1980
264,265,19810506,Arlene,1800,TD,18.4N,83.6W,30,1006,18.07,-83.1,1981
265,266,19810629,Bret,1200,SS,36.0N,65.0W,35,1012,36.0,-65.0,1981
266,267,19810802,Cindy,1800,SD,36.1N,67.8W,30,1010,36.02,-67.13,1981
267,268,19810807,Dennis,600,TD,10.5N,25.7W,30,1009,10.08,-25.12,1981
268,269,19810831,Emily,1200,SD,29.8N,72.7W,30,1008,29.13,-72.12,1981
269,270,19810903,Floyd,1200,TD,16.2N,60.3W,20,1010,16.03,-60.05,1981
270,271,19810907,Gert,0,TD,14.8N,54.0W,25,1013,14.13,-54.0,1981
271,272,19810911,Harvey,1800,TD,14.0N,49.0W,25,1009,14.0,-49.0,1981
272,273,19810921,Irene,1200,TD,13.5N,32.5W,25,1015,13.08,-32.08,1981
273,274,19811029,Jose,1200,TD,25.0N,47.5W,25,1010,25.0,-47.08,1981
274,275,19811103,Katrina,0,TD,16.9N,81.2W,25,1005,16.15,-81.03,1981
275,276,19820602,Alberto,1200,TD,21.7N,87.1W,20,1005,21.12,-87.02,1982
276,277,19820828,Beryl,1200,TD,13.7N,22.2W,30,1008,13.12,-22.03,1982
277,278,19820909,Chris,0,SD,26.2N,91.0W,25,1010,26.03,-91.0,1982
278,279,19820913,Debby,1200,TD,19.8N,69.5W,30,1010,19.13,-69.08,1982
279,280,19820930,Ernesto,1200,TD,24.8N,65.4W,30,1006,24.13,-65.07,1982
