,hurricane_id,date,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year,name
161,162,19670905,0,TD,15.4N,20.3W,30,-999,15.07,-20.05,1967,Chloe
162,163,19670905,1200,TD,14.0N,57.0W,30,-999,14.0,-57.0,1967,Beulah
163,164,19670908,0,TD,28.5N,77.5W,25,1010,28.08,-77.08,1967,Doria
164,165,19670926,1200,TD,12.5N,47.0W,30,-999,12.08,-47.0,1967,Edith
165,166,19671001,1800,TD,20.3N,93.0W,25,1005,20.05,-93.0,1967,Fern
166,167,19671005,1200,TD,17.0N,18.3W,30,-999,17.0,-18.05,1967,Ginger
167,168,19671019,1200,TD,20.5N,54.0W,25,-999,20.08,-54.0,1967,Heidi
168,169,19680601,600,TD,17.2N,85.5W,30,-999,17.03,-85.08,1968,Abby
169,170,19680617,1200,TD,24.0N,80.5W,25,-999,24.0,-80.08,1968,Brenda
170,171,19680622,1800,TD,20.0N,96.0W,25,-999,20.0,-96.0,1968,Candy
171,172,19680704,0,TD,27.9N,88.8W,25,-999,27.15,-88.13,1968,Unnamed
172,173,19680810,0,TD,25.0N,79.0W,25,1013,25.0,-79.0,1968,Dolly
173,174,19680911,1800,TD,12.7N,21.1W,25,-999,12.12,-21.02,1968,Edna
174,175,19680923,1200,TD,26.0N,74.0W,25,-999,26.0,-74.0,1968,Frances
175,176,19681013,1200,TD,14.0N,80.5W,25,-999,14.0,-80.08,1968,Gladys
176,177,19690529,0,TD,12.0N,82.0W,25,-999,12.0,-82.0,1969,Unnamed
177,178,19690725,600,TD,9.2N,27.0W,30,-999,9.03,-27.0,1969,Anna
178,179,19690811,0,TD,28.1N,71.7W,30,-999,28.02,-71.12,1969,Blanche
179,180,19690814,1200,TD,13.0N,35.5W,25,-999,13.0,-35.08,1969,Debbie
180,181,19690814,0,TD,18.3N,79.7W,30,-999,18.05,-79.12,1969,Camille
181,182,19690825,0,TD,29.5N,78.5W,30,-999,29.08,-78.08,1969,Eve
182,183,19690829,0,TD,11.5N,62.0W,30,-999,11.08,-62.0,1969,Francelia
183,184,19690906,0,TD,24.5N,77.0W,25,1015,24.08,-77.0,1969,Gerda
184,185,19690914,1200,TD,11.9N,47.4W,25,-999,11.15,-47.07,1969,Holly
185,186,19690920,1200,TD,16.0N,47.0W,25,-999,16.0,-47.0,1969,Inga
186,187,19691001,1200,TD,19.0N,83.7W,25,-999,19.0,-83.12,1969,Jenny
187,188,19691007,1200,TD,20.5N,68.0W,25,-999,20.08,-68.0,1969,Kara
188,189,19691017,0,TD,17.3N,85.1W,25,1007,17.05,-85.02,1969,Laurie
189,190,19691121,1200,TS,10.3N,81.0W,45,-999,10.05,-81.0,1969,Martha
190,191,19700517,1800,TD,11.5N,79.0W,25,-999,11.08,-79.0,1970,Alma
191,192,19700719,0,TD,18.5N,83.5W,25,-999,18.08,-83.08,1970,Becky
192,193,19700727,1200,TD,33.0N,76.5W,20,-999,33.0,-76.08,1970,Unnamed
193,194,19700731,0,TD,18.5N,82.5W,25,1008,18.08,-82.08,1970,Celia
194,195,19700817,1200,TD,11.0N,41.0W,25,-999,11.0,-41.0,1970,Dorothy
195,196,19700908,1200,TD,15.3N,83.5W,25,-999,15.05,-83.08,1970,Ella
196,197,19700912,0,TD,25.5N,77.5W,25,-999,25.08,-77.08,1970,Felice
197,198,19700926,1200,TS,22.4N,75.4W,35,1010,22.07,-75.07,1970,Greta
198,199,19710704,1200,TD,33.5N,75.5W,25,-999,33.08,-75.08,1971,Arlene
199,200,19710707,1200,TD,29.0N,92.0W,20,-999,29.0,-92.0,1971,Unnamed
200,201,19710810,1200,TD,26.7N,79.9W,20,-999,26.12,-79.15,1971,Beth
201,202,19710818,1200,TD,13.0N,52.5W,30,1007,13.0,-52.08,1971,Chloe
202,203,19710820,1200,TD,11.5N,47.0W,25,-999,11.08,-47.0,1971,Doria
203,204,19710903,1200,TD,27.5N,87.5W,25,-999,27.08,-87.08,1971,Fern
204,205,19710905,1800,TD,11.4N,58.0W,25,1010,11.07,-58.0,1971,Edith
205,206,19710906,0,TD,25.5N,71.5W,25,-999,25.08,-71.08,1971,Ginger
206,207,19710911,0,TD,27.1N,72.0W,30,-999,27.02,-72.0,1971,Heidi
207,208,19710911,1800,TD,11.0N,48.5W,25,1009,11.0,-48.08,1971,Irene
208,209,19710921,600,TD,11.5N,38.8W,25,-999,11.08,-38.13,1971,Janice
209,210,19711018,0,TD,25.0N,58.5W,25,-999,25.0,-58.08,1971,Kristy
210,211,19711112,1200,TD,12.0N,78.5W,25,-999,12.0,-78.08,1971,Laura
211,212,19720523,1800,SD,31.2N,78.2W,25,1004,31.03,-78.03,1972,Alpha
212,213,19720614,1200,TD,20.0N,89.0W,25,-999,20.0,-89.0,1972,Agnes
213,214,19720619,0,TD,27.5N,69.0W,20,-999,27.08,-69.0,1972,Unnamed
214,215,19720822,1200,SD,36.5N,64.0W,30,-999,36.08,-64.0,1972,Betty
215,216,19720829,1200,TD,29.0N,78.5W,30,1012,29.0,-78.08,1972,Carrie
216,217,19720905,0,TD,23.8N,79.4W,30,-999,23.13,-79.07,1972,Dawn
217,218,19720919,1200,SD,37.5N,59.5W,25,-999,37.08,-59.08,1972,Charlie
218,219,19721101,1800,SD,35.0N,47.5W,25,1013,35.0,-47.08,1972,Delta
219,220,19730418,1200,TD,24.0N,65.0W,20,-999,24.0,-65.0,1973,Unnamed
220,221,19730701,1800,TD,26.0N,67.8W,30,1006,26.0,-67.13,1973,Alice
221,222,19730730,1200,SD,32.6N,74.1W,25,1013,32.1,-74.02,1973,Alfa
222,223,19730818,600,TD,20.5N,83.7W,30,-999,20.08,-83.12,1973,Brenda
223,224,19730825,1200,TD,11.0N,14.0W,30,-999,11.0,-14.0,1973,Christine
224,225,19730901,1800,TD,20.5N,86.5W,30,1008,20.08,-86.08,1973,Delia
225,226,19730914,1200,TD,10.5N,22.4W,30,-999,10.08,-22.07,1973,Ellen
226,227,19731008,1800,SD,30.0N,65.8W,30,1008,30.0,-65.13,1973,Fran
227,228,19731016,600,TD,16.3N,82.0W,30,1008,16.05,-82.0,1973,Gilda
228,229,19740622,1200,TD,19.0N,95.0W,20,-999,19.0,-95.0,1974,Unnamed
229,230,19740812,1200,TD,10.5N,43.0W,25,1010,10.08,-43.0,1974,Alma
230,231,19740826,1200,TD,27.0N,69.0W,25,-999,27.0,-69.0,1974,Becky
231,232,19740829,600,TD,16.8N,55.8W,30,1011,16.13,-55.13,1974,Carmen
232,233,19740902,1800,TD,27.2N,67.9W,30,-999,27.03,-67.15,1974,Dolly
233,234,19740904,1800,TD,14.7N,50.5W,25,-999,14.12,-50.08,1974,Elaine
234,235,19740914,1200,TD,15.3N,65.0W,30,-999,15.05,-65.0,1974,Fifi
235,236,19740927,1200,TD,10.7N,45.1W,30,-999,10.12,-45.02,1974,Gertrude
236,237,19750624,1200,TD,32.5N,52.0W,20,-999,32.08,-52.0,1975,Unnamed
237,238,19750627,0,TD,27.5N,79.0W,25,1013,27.08,-79.0,1975,Amy
238,239,19750724,0,TD,26.0N,68.4W,20,1014,26.0,-68.07,1975,Blanche
239,240,19750824,1200,TD,22.4N,69.8W,25,1011,22.07,-69.13,1975,Caroline
240,241,19750828,1200,SS,33.3N,46.3W,35,1005,33.05,-46.05,1975,Doris
241,242,19750913,600,TD,17.5N,54.1W,25,-999,17.08,-54.02,1975,Eloise
242,243,19750918,600,TD,17.5N,33.5W,25,-999,17.08,-33.08,1975,Faye
243,244,19750922,1800,TD,10.3N,34.8W,25,1012,10.05,-34.13,1975,Gladys
244,245,19751024,1800,SD,29.1N,79.3W,30,1006,29.02,-79.05,1975,Hallie
245,246,19760521,1200,SD,24.0N,89.0W,20,1010,24.0,-89.0,1976,Unnamed
246,247,19760728,1800,SD,28.0N,52.3W,20,1015,28.0,-52.05,1976,Anna
247,248,19760806,600,TD,26.0N,72.8W,25,1012,26.0,-72.13,1976,Belle
248,249,19760818,0,TD,26.0N,84.0W,20,1010,26.0,-84.0,1976,Dottie
249,250,19760818,1200,TD,31.7N,68.2W,30,1007,31.12,-68.03,1976,Candice
250,251,19760820,1200,TD,14.0N,48.0W,20,1012,14.0,-48.0,1976,Emmy
251,252,19760827,1200,TD,12.5N,37.5W,25,1009,12.08,-37.08,1976,Frances
252,253,19760926,1200,TD,23.0N,58.0W,20,1009,23.0,-58.0,1976,Gloria
253,254,19761022,1800,TD,19.1N,55.8W,25,1006,19.02,-55.13,1976,Holly
254,255,19770613,1200,TD,25.0N,94.5W,20,-999,25.0,-94.08,1977,Unnamed
255,256,19770829,1200,TD,26.9N,88.4W,20,1012,26.15,-88.07,1977,Anita
256,257,19770903,600,SD,26.8N,86.3W,25,1007,26.13,-86.05,1977,Babe
257,258,19770905,1200,TD,32.8N,80.0W,20,1015,32.13,-80.0,1977,Clara
258,259,19770926,1800,TD,28.5N,71.5W,20,1010,28.08,-71.08,1977,Dorothy
259,260,19771013,1800,TD,26.9N,62.9W,30,1010,26.15,-62.15,1977,Evelyn
260,261,19771016,1800,TD,17.3N,83.2W,25,1011,17.05,-83.03,1977,Frieda
